_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000015565,0.146671668,0.008350686,0.076195344,0.007072670,0.077622734,0.000109282,0.000000379,0.000000275,0.145667955,0.043986607,0.196897909,0.170150101,0.010729523,0.338136315,0.328374475,0.010759628,0.043889571,0.048877124,0.324729949,0.408846259,0.003158074,0.011824315,0.000158924,0.008677347,0.037781440,0.000020318,0.021478552,0.059272490,0.017800001,0.000152277,0.000324835,0.001821929,0.419020385,0.000838399,0.000369743,0.019369634,0.021846799,0.002104173,0.000001519,0.021443063,0.007804637,0.025821781,0.118146315,0.082327425,0.107628971,0.000521684,0.006878658,0.044005945,0.041067116,0.000000402,0.000002021
0.000009310,0.261221826,0.020065222,0.013001005,0.003693465,0.047489729,0.000112115,0.000000472,0.000000408,0.212913692,0.107604377,0.385015637,0.374478310,0.008844416,0.351482123,0.360832632,0.008236456,0.015145878,0.015680721,0.327870011,0.457536817,0.002330944,0.003562998,0.000193420,0.004259885,0.128380805,0.000077815,0.052436527,0.191765577,0.047514565,0.000018632,0.000039658,0.005347840,0.146387503,0.001977706,0.001360749,0.028226107,0.030358152,0.007784583,0.000017719,0.028341440,0.026711648,0.017997688,0.088080734,0.008586233,0.010162131,0.000148733,0.001194129,0.089866087,0.078164749,0.000000365,0.000001188
0.000008145,0.094688483,0.019305393,0.107114710,0.010459775,0.054123491,0.000225178,0.000000402,0.000000746,0.112545431,0.064111538,0.197930038,0.209877476,0.006895568,0.392172307,0.409665316,0.006968317,0.037367310,0.035162222,0.383653253,0.297050834,0.004396162,0.007440044,0.000325491,0.023919359,0.252340496,0.000040224,0.055102069,0.459610492,0.145268172,0.000005604,0.000012563,0.004699246,0.096346542,0.005125828,0.003498839,0.056942604,0.070250943,0.004184504,0.000021780,0.017333802,0.030806461,0.006888619,0.033171762,0.029507700,0.029942986,0.000081706,0.000903286,0.058162149,0.035750385,0.000000629,0.000002226
0.000003453,0.118943848,0.044523694,0.075209819,0.010966173,0.021141928,0.000052293,0.000000139,0.000000316,0.056269351,0.060618538,0.199051052,0.208258182,0.024269564,0.280152649,0.324045151,0.009053911,0.049845323,0.036665320,0.417320728,0.198219955,0.017068660,0.010479668,0.000158864,0.029926466,0.204947248,0.000058247,0.093982436,0.299456388,0.121022530,0.000000101,0.000000299,0.072080798,0.350964189,0.002219651,0.000986339,0.002830170,0.005077558,0.365145117,0.000069078,0.007418092,0.052145518,0.002300539,0.036292765,0.000705271,0.001462206,0.000003818,0.000207621,0.043314982,0.035309561,0.000000781,0.000000447
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000001320,0.032951303,0.010987952,0.128880635,0.028374432,0.054315098,0.000130643,0.000000063,0.000000260,0.230343416,0.427657515,0.564342499,0.617305517,0.102544211,0.141445234,0.059403718,0.031252388,0.016031275,0.004897575,0.477967292,0.425889820,0.002280841,0.000453803,0.000427114,0.084924378,0.365838557,0.000043820,0.044898674,0.365498185,0.183364123,0.000001556,0.000002622,0.043765649,0.245737329,0.005216604,0.004977613,0.004901809,0.008244228,0.040425114,0.000008142,0.002835617,0.029272407,0.000486909,0.006990741,0.009351167,0.012236951,0.000055359,0.000531370,0.018784968,0.018147875,0.000000471,0.000000493
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000002471,0.025271785,0.004304361,0.203213289,0.039286237,0.122735702,0.000143514,0.000000093,0.000000564,0.389348000,0.559557498,0.630614877,0.755001783,0.123887278,0.218726039,0.048055220,0.020156601,0.008730582,0.002214005,0.498714745,0.340296507,0.001079683,0.000241569,0.000430212,0.066904619,0.418370426,0.000138830,0.025479116,0.595788717,0.315593153,0.000003432,0.000010566,0.032452803,0.317323864,0.007744140,0.006057996,0.004712103,0.020585662,0.028646732,0.000004238,0.005406149,0.025788257,0.001300838,0.009418758,0.004900549,0.009498458,0.000014550,0.003802059,0.014340252,0.012371596,0.000001081,0.000000921
0.000008781,0.084076926,0.032439772,0.010855564,0.025868343,0.055113804,0.000292109,0.000000298,0.000000468,0.588042736,0.606561244,0.764054000,0.736871123,0.129814386,0.051876776,0.026367536,0.105433799,0.003788557,0.002448918,0.587901235,0.481903493,0.000534498,0.000131987,0.000215520,0.058317386,0.273413777,0.000025870,0.062401578,0.224922717,0.116119236,0.000031174,0.000035328,0.005784811,0.011270585,0.003518409,0.005715394,0.156371400,0.079812810,0.004050291,0.000098262,0.036992025,0.038120911,0.028940743,0.046367567,0.019386325,0.012804923,0.000429107,0.000366328,0.071747109,0.066057444,0.000000381,0.000001529
